number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_fixed_params,state
79,0.586751659589579,2025-06-24 09:52:04.280539,2025-06-24 12:35:25.430684,0 days 02:43:21.150145,26,log2,0.6347321348880341,0.015213157097068742,11,12,305,,COMPLETE
132,0.5868391286568065,2025-06-24 23:41:07.349836,2025-06-25 01:54:45.934832,0 days 02:13:38.584996,28,sqrt,0.7979385198414272,0.012623123107351454,8,16,213,,COMPLETE
13,0.5870598861153096,2025-06-23 18:55:15.974031,2025-06-23 20:55:47.237033,0 days 02:00:31.263002,18,log2,0.8039990224947711,0.007792334140421492,13,5,362,,COMPLETE
18,0.5872131360743429,2025-06-23 19:36:28.626238,2025-06-23 22:02:31.394922,0 days 02:26:02.768684,17,log2,0.7644428511606632,0.03787326762549413,12,13,342,,COMPLETE
14,0.5873478049343519,2025-06-23 19:06:55.324391,2025-06-23 21:06:51.638973,0 days 01:59:56.314582,26,log2,0.9431622086794296,0.04028363801779769,15,15,257,,COMPLETE
24,0.5874320595438864,2025-06-23 21:06:51.652782,2025-06-23 23:24:03.645789,0 days 02:17:11.993007,23,log2,0.6606311662018852,0.03833512738535039,12,15,382,,COMPLETE
2,0.5875341940307797,2025-06-23 17:38:22.402557,2025-06-23 18:47:22.103641,0 days 01:08:59.701084,20,log2,0.6734340543293049,0.03567554117398883,12,20,268,,COMPLETE
69,0.5875949839286558,2025-06-24 07:49:35.328554,2025-06-24 09:52:04.266299,0 days 02:02:28.937745,27,log2,0.6520020835167566,0.005784975632207756,12,15,390,,COMPLETE
8,0.5878846467876203,2025-06-23 17:38:22.409870,2025-06-23 19:11:14.571017,0 days 01:32:52.161147,21,sqrt,0.6982862285583965,0.009947819216522914,8,11,280,,COMPLETE
88,0.5879444974883374,2025-06-24 12:24:59.210082,2025-06-24 14:27:11.306467,0 days 02:02:12.096385,26,log2,0.6982331737570731,0.04020274399355786,13,6,365,,COMPLETE
19,0.5880387056780845,2025-06-23 19:48:53.549763,2025-06-23 22:14:46.056776,0 days 02:25:52.507013,25,log2,0.6117409898779707,0.044484188636045696,12,7,391,,COMPLETE
15,0.5888443907893812,2025-06-23 19:11:14.584986,2025-06-23 21:31:44.332399,0 days 02:20:29.747413,26,sqrt,0.7759217842040526,0.002151895897132983,5,20,390,,COMPLETE
81,0.58902832378664,2025-06-24 10:34:57.752274,2025-06-24 12:58:53.606626,0 days 02:23:55.854352,30,log2,0.7707620583380024,0.038722164088453,15,13,200,,COMPLETE
72,0.589131612007907,2025-06-24 08:24:15.726354,2025-06-24 10:50:08.336400,0 days 02:25:52.610046,25,log2,0.9432122283929328,0.010052742929026992,17,11,341,,COMPLETE
71,0.5891382179522298,2025-06-24 08:12:43.940362,2025-06-24 10:34:57.738732,0 days 02:22:13.798370,24,sqrt,0.8599174366483904,0.03834180048885164,10,14,385,,COMPLETE
127,0.5893105410828302,2025-06-24 22:11:40.666301,2025-06-25 00:51:27.034328,0 days 02:39:46.368027,22,log2,0.9592978338532407,0.012641174735374357,18,7,244,,COMPLETE
116,0.5894492112081647,2025-06-24 19:23:30.931038,2025-06-24 21:53:51.853473,0 days 02:30:20.922435,20,log2,0.9671605952114457,0.046209307184891676,18,16,202,,COMPLETE
56,0.5894855423478438,2025-06-24 04:25:15.888346,2025-06-24 06:56:24.762849,0 days 02:31:08.874503,20,sqrt,0.7473628973585404,0.0012498364870097201,6,20,357,,COMPLETE
34,0.5895082383500114,2025-06-23 23:24:03.658920,2025-06-24 01:30:02.441943,0 days 02:05:58.783023,28,log2,0.961964507752189,0.0007615767668006035,18,10,291,,COMPLETE
65,0.5896305647419693,2025-06-24 06:34:18.667490,2025-06-24 09:01:03.276656,0 days 02:26:44.609166,29,log2,0.6475800448417515,0.010086691664423487,14,7,322,,COMPLETE
117,0.589781421404075,2025-06-24 19:36:43.954932,2025-06-24 22:11:40.640154,0 days 02:34:56.685222,27,sqrt,0.7895921360088608,0.022859284611839094,10,20,270,,COMPLETE
21,0.5902505188917697,2025-06-23 20:29:24.365551,2025-06-23 22:46:02.485413,0 days 02:16:38.119862,21,sqrt,0.6527552561467229,0.011257075504199195,6,19,304,,COMPLETE
28,0.5903460821645539,2025-06-23 22:02:31.408752,2025-06-24 00:07:42.591504,0 days 02:05:11.182752,23,log2,0.8410798473445544,0.03009573617746776,18,5,248,,COMPLETE
40,0.5903592009953993,2025-06-24 00:36:20.863017,2025-06-24 03:01:07.401221,0 days 02:24:46.538204,23,sqrt,0.5396805741456943,0.016708624855724965,2,18,241,,COMPLETE
29,0.5903675306132501,2025-06-23 22:14:46.071283,2025-06-24 00:24:02.499909,0 days 02:09:16.428626,25,sqrt,0.5659457428635386,0.007433687241163962,8,17,333,,COMPLETE
44,0.5903836292611173,2025-06-24 01:30:02.455729,2025-06-24 04:01:45.040997,0 days 02:31:42.585268,29,sqrt,0.903731874942608,0.04733227679754326,11,5,287,,COMPLETE
25,0.5904276249254983,2025-06-23 21:31:44.362496,2025-06-23 23:36:30.567419,0 days 02:04:46.204923,28,sqrt,0.5241102129645699,0.02951795979823911,8,14,275,,COMPLETE
63,0.5905096199936023,2025-06-24 06:07:07.279526,2025-06-24 08:37:02.565157,0 days 02:29:55.285631,29,log2,0.6341736868492521,0.0024620966984656603,15,16,387,,COMPLETE
51,0.590558994562443,2025-06-24 03:08:46.950673,2025-06-24 05:39:34.710400,0 days 02:30:47.759727,28,log2,0.6415879966625211,0.020221937297881677,15,12,220,,COMPLETE
99,0.5905621471857994,2025-06-24 14:39:09.114890,2025-06-24 17:36:03.190403,0 days 02:56:54.075513,20,sqrt,0.8507172325189327,0.021689381380172512,11,15,342,,COMPLETE
75,0.5907196486533222,2025-06-24 09:01:03.290895,2025-06-24 11:38:49.437037,0 days 02:37:46.146142,19,sqrt,0.5468053267232509,0.020348760253741646,7,17,372,,COMPLETE
123,0.5907278132896763,2025-06-24 21:13:25.861690,2025-06-24 23:58:57.629909,0 days 02:45:31.768219,30,sqrt,0.8347787209514453,0.04491371429045758,11,20,271,,COMPLETE
82,0.5907314892567144,2025-06-24 10:50:08.349772,2025-06-24 13:07:19.711143,0 days 02:17:11.361371,18,log2,0.8058946623290122,0.024575871956058776,17,7,220,,COMPLETE
74,0.590864500528276,2025-06-24 08:50:36.799047,2025-06-24 11:21:36.818336,0 days 02:31:00.019289,17,log2,0.8040246988990247,0.027171175866907028,17,11,382,,COMPLETE
133,0.591002284810382,2025-06-24 23:58:57.661520,2025-06-25 02:06:02.272139,0 days 02:07:04.610619,28,sqrt,0.5916685673718188,0.023518644712951217,2,20,204,,COMPLETE
76,0.5910318070900038,2025-06-24 09:15:28.846720,2025-06-24 12:00:06.028939,0 days 02:44:37.182219,21,sqrt,0.6215700969780715,0.010598753543209334,9,19,396,,COMPLETE
97,0.5910335760044383,2025-06-24 14:13:48.869904,2025-06-24 16:44:07.523564,0 days 02:30:18.653660,26,sqrt,0.9189773642451495,0.03019874658766089,12,15,294,,COMPLETE
41,0.5910944312761353,2025-06-24 00:48:46.326859,2025-06-24 03:08:46.930763,0 days 02:20:00.603904,27,log2,0.6532908583299493,0.032741812078701076,16,12,219,,COMPLETE
23,0.5911157075849405,2025-06-23 20:55:47.260709,2025-06-23 23:10:31.509323,0 days 02:14:44.248614,19,log2,0.532791078164097,0.04492688718925181,14,10,276,,COMPLETE
86,0.5911258134195776,2025-06-24 12:00:06.057905,2025-06-24 13:54:12.807294,0 days 01:54:06.749389,20,sqrt,0.788095053135051,0.04536916466162709,11,8,263,,COMPLETE
106,0.5914006466084419,2025-06-24 16:23:11.403706,2025-06-24 19:23:30.902501,0 days 03:00:19.498795,24,sqrt,0.540156400761562,0.00434219906222329,8,18,391,,COMPLETE
121,0.5915000106995618,2025-06-24 20:42:08.719283,2025-06-24 23:25:21.318508,0 days 02:43:12.599225,24,log2,0.8119487577888033,0.04811121916114463,19,12,242,,COMPLETE
17,0.5915735949013532,2025-06-23 19:34:00.983567,2025-06-23 21:49:45.938863,0 days 02:15:44.955296,17,log2,0.6566139673119618,0.03526570397172187,16,13,245,,COMPLETE
110,0.5916157412580487,2025-06-24 17:48:10.905369,2025-06-24 20:19:42.095183,0 days 02:31:31.189814,16,sqrt,0.7479249823470178,0.0043630977587865325,4,15,373,,COMPLETE
22,0.5919309343670484,2025-06-23 20:41:44.753484,2025-06-23 23:02:29.753804,0 days 02:20:45.000320,17,sqrt,0.7251956651279284,0.006361310128388898,10,9,267,,COMPLETE
60,0.5921304547676287,2025-06-24 05:32:37.327032,2025-06-24 08:04:51.314808,0 days 02:32:13.987776,23,sqrt,0.703954904292712,0.0024467440118167653,11,7,267,,COMPLETE
85,0.5922277545119463,2025-06-24 11:38:49.456944,2025-06-24 13:37:40.025644,0 days 01:58:50.568700,17,log2,0.5246698829306504,0.04320863467894819,14,11,284,,COMPLETE
93,0.5924806003064054,2025-06-24 13:18:55.170541,2025-06-24 15:48:34.962235,0 days 02:29:39.791694,25,sqrt,0.8862727637880348,0.019283821038886814,13,20,256,,COMPLETE
126,0.5927938334062044,2025-06-24 21:53:51.874759,2025-06-25 00:40:11.372928,0 days 02:46:19.498169,24,log2,0.5122543154322361,0.048289512119881806,15,7,229,,COMPLETE
94,0.5931466673155221,2025-06-24 13:29:26.355880,2025-06-24 15:59:16.445593,0 days 02:29:50.089713,25,log2,0.7125679818084178,0.026885120895714938,20,9,296,,COMPLETE
46,0.593302526078489,2025-06-24 02:10:07.142846,2025-06-24 04:25:15.872220,0 days 02:15:08.729374,29,sqrt,0.6102504663894402,0.008685199676673017,11,15,338,,COMPLETE
16,0.5933894650846929,2025-06-23 19:24:56.957094,2025-06-23 21:41:51.527413,0 days 02:16:54.570319,25,log2,0.5556040234138355,0.04245683954216989,17,7,334,,COMPLETE
80,0.5934197582110048,2025-06-24 10:08:57.373334,2025-06-24 12:51:19.803355,0 days 02:42:22.430021,18,sqrt,0.9101303550580239,0.02237785696833211,14,9,228,,COMPLETE
45,0.5935782212079839,2025-06-24 01:52:25.067097,2025-06-24 04:08:59.648842,0 days 02:16:34.581745,28,log2,0.6558773010479713,0.04525987960206274,19,12,219,,COMPLETE
37,0.5939164161906832,2025-06-23 23:57:34.386055,2025-06-24 02:16:53.780096,0 days 02:19:19.394041,16,log2,0.602322702811557,0.02028173144487947,17,17,230,,COMPLETE
130,0.5940411460275732,2025-06-24 23:15:25.819729,2025-06-25 01:26:47.087944,0 days 02:11:21.268215,30,log2,0.6522374823990275,0.01856840071223569,20,9,207,,COMPLETE
55,0.5940822970567312,2025-06-24 04:08:59.662538,2025-06-24 06:34:18.653285,0 days 02:25:18.990747,30,log2,0.6105039518959285,0.02673356564390312,19,9,319,,COMPLETE
61,0.5944857809824651,2025-06-24 05:39:34.724103,2025-06-24 08:12:43.925598,0 days 02:33:09.201495,18,log2,0.580882394806913,0.01798880403821328,19,7,263,,COMPLETE
131,0.5945338420216646,2025-06-24 23:25:21.343069,2025-06-25 01:40:13.720889,0 days 02:14:52.377820,27,sqrt,0.7752252047888137,0.020801528337788956,14,7,222,,COMPLETE
112,0.5946350642721023,2025-06-24 18:26:29.552518,2025-06-24 20:49:53.479672,0 days 02:23:23.927154,16,log2,0.6885498824073266,0.031355506109268204,20,18,225,,COMPLETE
113,0.5948938366071793,2025-06-24 18:37:43.529877,2025-06-24 21:13:25.838013,0 days 02:35:42.308136,16,sqrt,0.7568619607347977,0.026594977961715827,12,5,382,,COMPLETE
9,0.5949231534098085,2025-06-23 17:38:22.412032,2025-06-23 19:48:53.520627,0 days 02:10:31.108595,20,sqrt,0.7613554254560322,0.04759218532719701,14,15,216,,COMPLETE
109,0.5950089223488984,2025-06-24 17:36:03.213244,2025-06-24 19:56:15.394616,0 days 02:20:12.181372,17,log2,0.5666031907054606,0.04881396157787064,19,16,343,,COMPLETE
5,0.5952083880698844,2025-06-23 17:38:22.411691,2025-06-23 19:24:56.944149,0 days 01:46:34.532458,15,sqrt,0.8211007392922901,0.011658370303291789,3,11,273,,COMPLETE
124,0.5952702984758353,2025-06-24 21:29:50.728185,2025-06-25 00:10:09.427513,0 days 02:40:18.699328,22,log2,0.5617897610778728,0.0020916900263803274,20,16,383,,COMPLETE
66,0.5954257511006296,2025-06-24 06:56:24.777140,2025-06-24 09:15:28.831832,0 days 02:19:04.054692,24,sqrt,0.5563113972025377,0.031706277927623254,12,6,320,,COMPLETE
102,0.5954390874766888,2025-06-24 15:31:29.412196,2025-06-24 18:26:29.528559,0 days 02:55:00.116363,22,sqrt,0.8828801294158979,0.013589916548819959,16,18,321,,COMPLETE
7,0.5956874539071779,2025-06-23 17:38:22.409066,2025-06-23 19:34:00.969700,0 days 01:55:38.560634,15,sqrt,0.8133834923959167,0.022075349321489215,4,15,350,,COMPLETE
118,0.5957724165442669,2025-06-24 19:46:11.410575,2025-06-24 22:40:54.801636,0 days 02:54:43.391061,15,sqrt,0.929491197949105,0.04988527312783614,4,17,394,,COMPLETE
10,0.596038629830169,2025-06-23 17:38:22.408626,2025-06-23 20:08:12.519808,0 days 02:29:50.111182,19,sqrt,0.8083512943924661,0.02381485456937479,16,19,328,,COMPLETE
108,0.5966469846124827,2025-06-24 17:12:19.770179,2025-06-24 19:46:11.386056,0 days 02:33:51.615877,28,log2,0.501083327353606,0.02869651290956048,20,17,360,,COMPLETE
122,0.5968710992928266,2025-06-24 20:49:53.501372,2025-06-24 23:41:07.323302,0 days 02:51:13.821930,25,sqrt,0.5304876587161942,0.002746528691037581,13,17,353,,COMPLETE
1,0.5968801766752246,2025-06-23 17:38:22.402234,2025-06-23 18:55:15.960189,0 days 01:16:53.557955,16,log2,0.521925243025539,0.04868912218610935,20,19,291,,COMPLETE
107,0.5971322221663737,2025-06-24 16:44:07.552194,2025-06-24 19:36:43.919831,0 days 02:52:36.367637,16,sqrt,0.8120714457906435,0.0033329774925048797,16,12,214,,COMPLETE
54,0.5972070211408442,2025-06-24 04:01:45.055553,2025-06-24 06:24:54.142142,0 days 02:23:09.086589,23,sqrt,0.9307281704520334,0.04870387047118627,19,20,268,,COMPLETE
64,0.5975649315104944,2025-06-24 06:24:54.156101,2025-06-24 08:50:36.785762,0 days 02:25:42.629661,28,sqrt,0.8050898679615895,0.017976556328126937,18,5,227,,COMPLETE
30,0.5981149524369267,2025-06-23 22:28:15.043206,2025-06-24 00:36:20.849484,0 days 02:08:05.806278,15,sqrt,0.5865627791459698,0.013759122313989536,11,20,255,,COMPLETE
87,0.5983477440298224,2025-06-24 12:12:56.956237,2025-06-24 14:13:48.838270,0 days 02:00:51.882033,15,sqrt,0.773711583656219,0.018007721738110643,14,7,331,,COMPLETE
50,0.5986862651431835,2025-06-24 03:01:07.421069,2025-06-24 05:32:37.312902,0 days 02:31:29.891833,23,sqrt,0.8428851284224079,0.0024517233275400067,20,11,220,,COMPLETE
90,0.5992854035448545,2025-06-24 12:51:19.842283,2025-06-24 14:52:21.944639,0 days 02:01:02.102356,25,sqrt,0.7920888111976807,0.008132639478643107,20,7,222,,COMPLETE
57,0.5993195101468349,2025-06-24 04:52:03.033048,2025-06-24 07:13:41.012625,0 days 02:21:37.979577,16,sqrt,0.686188328508271,0.0014576888819236467,17,12,324,,COMPLETE
36,0.5993847566592005,2025-06-23 23:49:46.263951,2025-06-24 02:10:07.127964,0 days 02:20:20.864013,29,sqrt,0.5996156720621524,0.015267477613672427,17,14,371,,COMPLETE
53,0.5999494203690878,2025-06-24 03:41:51.729409,2025-06-24 06:07:07.265034,0 days 02:25:15.535625,20,sqrt,0.7242073390701427,0.01693136782435768,20,20,302,,COMPLETE
12,0.6000510584964784,2025-06-23 18:47:22.117886,2025-06-23 20:41:44.727831,0 days 01:54:22.609945,18,sqrt,0.6022189225155763,0.021645130156549702,18,15,265,,COMPLETE
83,0.6008210738811472,2025-06-24 11:07:15.553891,2025-06-24 13:18:55.147896,0 days 02:11:39.594005,22,sqrt,0.6267329492973901,0.045690285580857276,19,12,247,,COMPLETE
68,0.6010234037906168,2025-06-24 07:25:59.509007,2025-06-24 09:38:46.762387,0 days 02:12:47.253380,21,sqrt,0.591759995498288,0.016386828808116594,19,10,334,,COMPLETE
33,0.6015202693801964,2025-06-23 23:10:31.525755,2025-06-24 01:17:31.100412,0 days 02:06:59.574657,29,sqrt,0.5620376964785402,0.009433610319220838,19,9,341,,COMPLETE
48,0.6015860707386521,2025-06-24 02:34:05.009077,2025-06-24 05:09:21.357649,0 days 02:35:16.348572,29,sqrt,0.5741441811320699,0.03212310258681691,19,20,380,,COMPLETE
32,0.6026214005096242,2025-06-23 23:02:29.787068,2025-06-24 01:02:09.627325,0 days 01:59:39.840257,15,sqrt,0.6720547732780356,0.015471642434946637,20,8,249,,COMPLETE
95,0.603301298014725,2025-06-24 13:37:40.050878,2025-06-24 16:11:12.576989,0 days 02:33:32.526111,22,sqrt,0.5166484251704937,0.0011711953139787624,20,12,291,,COMPLETE
135,,2025-06-25 00:33:51.936673,,,22,log2,0.5246478513708204,0.012596099090621676,11,8,330,,RUNNING
136,,2025-06-25 00:40:11.396265,,,26,sqrt,0.6934910157223921,0.004523956681529329,5,6,391,,RUNNING
137,,2025-06-25 00:51:27.064805,,,17,sqrt,0.9877988689969688,0.0017055310572163863,18,9,278,,RUNNING
138,,2025-06-25 01:05:03.477784,,,24,log2,0.8461861414930001,0.02141602972142343,18,16,349,,RUNNING
139,,2025-06-25 01:19:49.458015,,,17,log2,0.5119853336848825,0.02492203493106611,2,5,275,,RUNNING
140,,2025-06-25 01:26:47.115656,,,19,log2,0.637799701188061,0.002437508269274841,17,5,251,,RUNNING
141,,2025-06-25 01:40:13.741633,,,26,sqrt,0.5628652770836979,0.024443074642150054,17,13,325,,RUNNING
142,,2025-06-25 01:54:45.959726,,,29,sqrt,0.6723149105082882,0.040027169187393345,11,8,349,,RUNNING
143,,2025-06-25 02:06:02.297941,,,20,log2,0.668626073264036,0.03661300310190149,15,20,323,,RUNNING
144,,2025-06-25 02:27:25.709831,,,17,sqrt,0.5567543298284986,0.04647278482031583,11,14,336,,RUNNING
145,,2025-06-25 02:30:53.000085,2025-06-25 02:34:28.665634,0 days 00:03:35.665549,21,log2,0.9571943632440452,0.006753430975027294,3,6,400,,FAIL
